user_id,nim,jurusan,angkatan,line_id,whatsapp,created_at,updated_at
user-49,20012587,Akuntansi,2021,line_zizi_purnawati,+628968751896,2023-10-28T09:16:15.443198,2025-02-16T22:57:23.143060
user-50,20029761,Sistem Informasi,2022,line_sadina_mustofa,+628341794494,2024-12-21T23:32:35.008941,2025-02-03T02:37:57.268626
user-51,20038875,Teknik Komputer,2023,line_rebecca_david,+628499094050,2024-03-14T15:07:59.267387,2024-10-02T18:16:43.614145
user-52,20041315,Teknik Informatika,2024,line_brianna_hunt,+628991239428,2023-11-30T04:33:55.253760,2025-02-16T23:19:00.929936
user-53,20003069,Teknik Elektro,2020,line_lutfan_saefullah,+628044515236,2024-08-15T06:45:43.950492,2025-09-05T23:20:05.233898
user-54,20014800,Manajemen,2021,line_cawuk_ramadan,+628587343568,2025-02-03T11:33:53.539174,2025-04-01T13:46:36.564166
user-55,20025456,Teknik Industri,2022,line_bagas_rahayu,+628571712594,2024-07-15T22:58:15.828489,2024-10-06T05:15:47.488619
user-56,20037497,Teknik Informatika,2023,line_paiman_hardiansyah,+628661040749,2024-07-02T13:32:08.889886,2024-10-28T14:13:10.738863
user-57,20047846,Sistem Informasi,2024,"line_dt._banawi_mulyani,_s.sos",+628208144591,2024-02-29T18:21:27.972269,2025-09-06T01:01:35.192815
user-58,20008689,Teknik Komputer,2020,line_jessica_beard,+628182762497,2025-06-16T12:26:36.868551,2024-12-22T23:23:32.464985
user-59,20016832,Teknik Komputer,2021,line_tommy_ramos,+628152388141,2024-04-20T20:04:52.987544,2025-01-09T16:47:20.921362
user-60,20021089,Sistem Informasi,2022,line_angela_schmitt,+628188760914,2024-07-15T12:19:21.304866,2024-10-27T03:19:21.247795
user-61,20034396,Teknik Informatika,2023,line_david_navarro,+628086952053,2025-07-08T03:55:39.839854,2024-11-23T11:49:06.134798
user-62,20041830,Akuntansi,2024,line_katherine_brown,+628014100189,2024-08-28T16:37:57.839621,2025-04-23T23:25:52.262121
user-63,20002312,Teknik Industri,2020,line_keith_fuller,+628258856978,2024-06-24T21:45:10.267034,2025-01-09T18:04:39.144936
user-64,20018517,Teknik Informatika,2021,line_tiffany_torres,+628196154492,2025-03-11T23:41:07.395937,2024-10-21T23:27:07.748576
user-65,20025812,Teknik Komputer,2022,line_dr._candra_pudjiastuti,+628134569137,2024-02-05T19:49:36.440046,2025-05-16T22:12:34.298158
user-66,20034035,Sistem Informasi,2023,"line_daru_usamah,_s.h.",+628375623063,2025-02-14T23:20:05.990023,2025-02-12T11:48:32.317733
user-67,20045730,Teknik Elektro,2024,line_ridwan_winarno,+628494840494,2025-05-03T07:59:12.303029,2024-11-03T01:56:18.716944
user-68,20009653,Sistem Informasi,2020,line_john_snyder,+628899834268,2025-05-29T02:51:49.130221,2025-07-17T23:52:44.390805
user-69,20013083,Teknik Elektro,2021,line_cheryl_garcia,+628212935253,2023-11-26T16:21:51.846535,2024-12-04T03:49:40.165689
user-70,20021563,Teknik Komputer,2022,line_aurora_mansur,+628879699308,2024-11-04T16:28:57.843133,2024-10-24T08:15:26.330996
user-71,20034163,Akuntansi,2023,line_jennifer_bryant,+628626457541,2024-04-15T02:58:41.531320,2025-07-21T08:37:23.928755
user-72,20049235,Manajemen,2024,line_brandon_wolf,+628896056036,2024-07-02T16:32:20.967547,2024-10-06T01:13:43.650601
user-73,20002844,Teknik Informatika,2020,"line_dr._puji_nashiruddin,_s.e.i",+628541849585,2024-09-21T18:44:27.864471,2025-07-06T16:18:05.171827
user-74,20014763,Teknik Informatika,2021,line_jose_lewis,+628250559100,2025-05-29T05:30:23.907807,2025-05-08T16:09:23.251896
user-75,20025558,Teknik Elektro,2022,line_hasan_susanti,+628462994079,2023-10-13T20:30:20.521015,2024-12-05T01:32:50.545295
user-76,20033423,Teknik Elektro,2023,line_ihsan_simbolon,+628912856100,2024-10-13T18:44:50.929715,2025-08-14T15:49:48.926659
user-77,20041694,Teknik Informatika,2024,line_holly_fox,+628490892772,2024-11-27T07:52:02.222034,2025-08-10T04:41:19.113285
user-78,20007922,Sistem Informasi,2020,line_kevin_wilson,+628604526828,2023-11-08T15:42:26.896830,2024-11-28T23:13:10.040770
user-79,20018616,Teknik Komputer,2021,line_dr._christina_johnson,+628513015909,2024-12-18T04:25:40.869238,2025-06-23T17:18:42.672370
user-80,20022431,Teknik Informatika,2022,line_alexandra_owens,+628188561486,2025-08-24T06:32:27.244890,2024-12-14T11:51:02.307860
user-81,20037020,Akuntansi,2023,line_raymond_garza,+628564840731,2024-02-19T08:26:57.323108,2025-06-30T21:55:49.683976
user-82,20042929,Teknik Informatika,2024,line_nicholas_curtis,+628628222900,2025-07-24T08:46:03.248443,2025-05-11T01:54:19.876704
user-83,20001357,Akuntansi,2020,line_jonathan_banks,+628529370406,2025-03-10T07:20:21.223765,2025-09-13T16:46:54.988545
user-84,20011095,Teknik Elektro,2021,line_brian_young,+628149138213,2025-01-30T14:44:30.482027,2025-07-25T19:41:30.120534
user-85,20022718,Teknik Industri,2022,line_michael_ferrell,+628053236377,2024-07-15T09:55:58.496789,2025-01-24T10:10:21.485877
user-86,20035056,Teknik Komputer,2023,line_melinda_hutapea,+628123247504,2025-05-05T12:13:45.871426,2025-04-30T12:03:58.503311
user-87,20042175,Teknik Industri,2024,line_salwa_mahendra,+628855186215,2024-02-27T14:51:17.855453,2025-08-04T03:52:56.066901
user-88,20007803,Sistem Informasi,2020,line_john_edwards,+628757482441,2024-02-08T04:21:12.128644,2025-06-13T21:57:45.134270
user-89,20011557,Sistem Informasi,2021,line_michelle_vasquez,+628946835396,2025-09-21T01:21:16.376452,2024-12-07T12:17:34.597338
user-90,20027831,Teknik Industri,2022,line_drs._kayun_hutasoit,+628646663486,2025-05-27T12:09:05.240731,2024-12-26T20:17:28.597797
user-91,20033830,Akuntansi,2023,line_richard_jones,+628482372540,2024-11-20T20:09:30.252114,2025-05-01T10:18:20.120438
user-92,20046874,Teknik Elektro,2024,line_kathleen_arroyo,+628103066521,2023-09-29T18:34:05.626447,2025-05-20T15:53:19.416726
user-93,20004607,Akuntansi,2020,line_gada_palastri,+628745257199,2024-04-05T00:21:46.909230,2024-11-29T07:24:52.503926
user-94,20017053,Akuntansi,2021,line_richard_cruz,+628068172503,2024-03-26T22:02:20.319388,2025-04-13T21:42:26.489015
user-95,20026162,Teknik Informatika,2022,line_whitney_ellison,+628573270909,2024-08-27T15:04:43.242791,2025-02-17T21:18:43.009856
user-96,20031813,Akuntansi,2023,line_kenari_yolanda,+628678829594,2025-04-02T16:14:31.471970,2025-01-13T16:11:04.189189
user-97,20044904,Akuntansi,2024,"line_r._arsipatra_hartati,_s.psi",+628537522242,2024-02-07T22:28:00.337270,2024-09-26T10:03:26.418807
user-98,20004766,Teknik Informatika,2020,line_vivi_iswahyudi,+628941149874,2025-06-19T21:08:26.690003,2025-03-10T12:07:32.312209
user-99,20011096,Teknik Komputer,2021,"line_r.a._maimunah_rajasa,_m.ak",+628767081880,2024-09-01T15:46:57.532924,2025-05-18T10:21:26.640133
user-100,20027792,Manajemen,2022,line_anthony_gibson,+628496124700,2025-06-06T09:45:50.293169,2025-08-21T01:30:07.987906
